year,actual_emissions_mt,target_emissions_mt,alignment_pct
2025,27.0,25.0,93.0
2025,23.6,25.0,106.0
2025,27.4,25.0,91.0
2025,25.1,25.0,100.0
2025,24.7,25.0,101.0
2025,27.1,25.0,92.0
2025,25.2,25.0,99.0
2025,25.0,25.0,100.0
2025,25.0,25.0,100.0
2025,26.8,25.0,93.0
2025,26.8,25.0,93.0
2025,27.8,25.0,90.0
2025,27.0,25.0,93.0
2025,26.9,25.0,93.0
2025,25.6,25.0,98.0
2025,25.7,25.0,97.0
2025,26.4,25.0,95.0
2025,25.2,25.0,99.0
2025,24.3,25.0,103.0
2025,25.5,25.0,98.0
2025,25.6,25.0,98.0
2025,25.5,25.0,98.0
2025,26.2,25.0,95.0
2025,25.6,25.0,98.0
2025,25.8,25.0,97.0
2025,24.2,25.0,103.0
2025,26.0,25.0,96.0
2025,26.2,25.0,95.0
2025,26.4,25.0,95.0
2025,26.0,25.0,96.0
2025,25.1,25.0,99.0
2025,26.3,25.0,95.0
2025,24.6,25.0,102.0
2025,23.0,25.0,109.0
2025,26.0,25.0,96.0
2025,23.9,25.0,105.0
2025,25.7,25.0,97.0
2025,26.7,25.0,93.0
2025,24.0,25.0,104.0
2025,24.5,25.0,102.0
2025,24.4,25.0,103.0
2025,24.6,25.0,102.0
2025,25.3,25.0,99.0
2025,24.6,25.0,102.0
2025,26.1,25.0,96.0
2025,24.6,25.0,102.0
2025,26.3,25.0,95.0
2025,26.1,25.0,96.0
2025,25.5,25.0,98.0
2025,26.1,25.0,96.0
2025,23.5,25.0,106.0
2025,25.5,25.0,98.0
2025,25.8,25.0,97.0
2025,25.8,25.0,97.0
2025,25.9,25.0,97.0
2025,27.5,25.0,91.0
2025,26.2,25.0,95.0
2025,25.7,25.0,97.0
2025,24.1,25.0,104.0
2025,25.9,25.0,96.0
2025,25.2,25.0,99.0
2025,25.3,25.0,99.0
2025,24.8,25.0,101.0
2025,22.7,25.0,110.0
2025,26.2,25.0,95.0
2025,27.6,25.0,91.0
2025,25.0,25.0,100.0
2025,26.3,25.0,95.0
2025,25.0,25.0,100.0
2025,25.8,25.0,97.0
2025,25.3,25.0,99.0
2025,26.5,25.0,94.0
2025,26.2,25.0,95.0
2025,24.2,25.0,103.0
2025,24.2,25.0,103.0
2025,26.7,25.0,94.0
2025,24.9,25.0,100.0
2025,26.0,25.0,96.0
2025,24.5,25.0,102.0
2025,24.2,25.0,103.0
2025,27.7,25.0,90.0
2025,25.2,25.0,99.0
2025,24.0,25.0,104.0
2025,26.9,25.0,93.0
2025,23.4,25.0,107.0
2025,25.1,25.0,99.0
2025,24.8,25.0,101.0
2025,25.4,25.0,98.0
2025,27.0,25.0,93.0
2025,24.8,25.0,101.0
2025,26.0,25.0,96.0
2025,26.1,25.0,96.0
2025,27.4,25.0,91.0
2025,24.2,25.0,104.0
2025,25.8,25.0,97.0
2025,25.7,25.0,97.0
2025,24.5,25.0,102.0
2025,26.4,25.0,95.0
2025,25.8,25.0,97.0
2025,26.5,25.0,94.0
2025,25.6,25.0,98.0
2025,25.5,25.0,98.0
2025,24.1,25.0,104.0
2025,24.7,25.0,101.0
2025,25.9,25.0,97.0
2025,26.0,25.0,96.0
2025,25.9,25.0,96.0
2025,25.3,25.0,99.0
2025,26.9,25.0,93.0
2025,26.1,25.0,96.0
2025,25.2,25.0,99.0
2025,24.9,25.0,100.0
2025,25.4,25.0,99.0
2025,26.4,25.0,95.0
2025,25.3,25.0,99.0
2025,24.6,25.0,102.0
2025,24.5,25.0,102.0
2025,26.2,25.0,95.0
2025,24.1,25.0,104.0
2025,25.1,25.0,100.0
2025,25.1,25.0,100.0
2025,26.1,25.0,96.0
2025,24.4,25.0,102.0
2025,23.1,25.0,108.0
2025,25.1,25.0,100.0
2025,25.4,25.0,98.0
2025,23.0,25.0,109.0
2025,24.5,25.0,102.0
2025,25.8,25.0,97.0
2025,24.8,25.0,101.0
2025,24.4,25.0,102.0
2025,24.7,25.0,101.0
2025,26.4,25.0,95.0
2025,25.8,25.0,97.0
2025,27.4,25.0,91.0
2025,25.5,25.0,98.0
2025,24.9,25.0,100.0
2025,25.6,25.0,98.0
2025,25.9,25.0,97.0
2025,25.0,25.0,100.0
2025,25.4,25.0,98.0
2025,25.3,25.0,99.0
2025,27.0,25.0,93.0
2025,26.1,25.0,96.0
2025,25.5,25.0,98.0
2025,27.2,25.0,92.0
2025,27.0,25.0,92.0
2025,24.6,25.0,102.0
2025,25.2,25.0,99.0
2025,23.6,25.0,106.0
2025,26.4,25.0,95.0
2025,26.7,25.0,94.0
2025,22.8,25.0,109.0
2025,25.5,25.0,98.0
2025,26.1,25.0,96.0
2025,26.5,25.0,94.0
2025,26.8,25.0,93.0
2025,24.5,25.0,102.0
2025,26.1,25.0,96.0
2025,27.1,25.0,92.0
2025,25.1,25.0,100.0
2025,26.4,25.0,95.0
2025,26.9,25.0,93.0
2025,25.4,25.0,98.0
2025,24.9,25.0,100.0
2025,26.3,25.0,95.0
2025,25.1,25.0,100.0
2025,25.1,25.0,99.0
2025,26.0,25.0,96.0
2025,26.0,25.0,96.0
2025,25.6,25.0,98.0
2025,26.7,25.0,94.0
2025,25.6,25.0,98.0
2025,25.8,25.0,97.0
2025,26.3,25.0,95.0
2025,25.5,25.0,98.0
2025,24.0,25.0,104.0
2025,26.8,25.0,93.0
2025,24.1,25.0,104.0
2025,26.9,25.0,93.0
2025,25.5,25.0,98.0
2025,23.9,25.0,105.0
2025,25.6,25.0,98.0
2025,24.6,25.0,102.0
2025,25.6,25.0,98.0
2025,25.7,25.0,97.0
2025,24.5,25.0,102.0
2025,23.8,25.0,105.0
2025,27.0,25.0,92.0
2025,25.9,25.0,97.0
2025,25.3,25.0,99.0
2025,25.7,25.0,97.0
2025,25.5,25.0,98.0
2025,23.5,25.0,106.0
2025,24.7,25.0,101.0
2025,24.5,25.0,102.0
2025,26.0,25.0,96.0
2025,24.2,25.0,103.0
2025,25.4,25.0,98.0
2025,25.3,25.0,99.0
2025,25.9,25.0,96.0
2025,24.8,25.0,101.0
2025,26.1,25.0,96.0
2025,24.2,25.0,103.0
2025,26.4,25.0,95.0
2025,26.4,25.0,95.0
2025,25.0,25.0,100.0
2025,26.8,25.0,93.0
2025,24.6,25.0,102.0
2025,25.4,25.0,99.0
2025,25.5,25.0,98.0
2025,23.9,25.0,104.0
2025,25.7,25.0,97.0
2025,24.4,25.0,103.0
2025,24.9,25.0,101.0
2025,27.5,25.0,91.0
2025,26.3,25.0,95.0
2025,26.8,25.0,93.0
2025,25.3,25.0,99.0
2025,24.4,25.0,102.0
2025,25.9,25.0,96.0
2025,27.3,25.0,91.0
2025,25.0,25.0,100.0
2025,25.2,25.0,99.0
2025,27.6,25.0,91.0
2025,24.5,25.0,102.0
2025,26.0,25.0,96.0
2025,25.6,25.0,98.0
2025,27.1,25.0,92.0
2025,25.5,25.0,98.0
2025,27.8,25.0,90.0
2025,24.6,25.0,102.0
2025,24.7,25.0,101.0
2025,23.2,25.0,108.0
2025,26.1,25.0,96.0
2025,26.0,25.0,96.0
2025,26.8,25.0,93.0
2025,25.4,25.0,98.0
2025,25.8,25.0,97.0
2025,25.5,25.0,98.0
2025,26.0,25.0,96.0
2025,26.9,25.0,93.0
2025,23.9,25.0,105.0
2025,25.9,25.0,97.0
2025,25.0,25.0,100.0
2025,25.3,25.0,99.0
2025,23.8,25.0,105.0
2025,24.6,25.0,102.0
2025,24.8,25.0,101.0
2025,24.2,25.0,103.0
2025,24.4,25.0,102.0
2025,25.0,25.0,100.0
2025,25.2,25.0,99.0
2025,24.9,25.0,100.0
2025,25.5,25.0,98.0
2025,25.8,25.0,97.0
2025,25.3,25.0,99.0
2025,26.0,25.0,96.0
2025,26.9,25.0,93.0
2025,25.9,25.0,96.0
2025,26.1,25.0,96.0
2025,25.7,25.0,97.0
2025,25.6,25.0,98.0
2025,23.5,25.0,106.0
2025,26.2,25.0,95.0
2025,25.0,25.0,100.0
2025,25.4,25.0,98.0
2025,25.1,25.0,100.0
2025,27.1,25.0,92.0
2025,25.8,25.0,97.0
2025,23.4,25.0,107.0
2025,25.6,25.0,98.0
2025,25.8,25.0,97.0
2025,25.4,25.0,98.0
2025,23.9,25.0,104.0
2025,25.0,25.0,100.0
2025,25.3,25.0,99.0
2025,25.6,25.0,98.0
2025,27.4,25.0,91.0
2025,23.7,25.0,106.0
2025,26.5,25.0,94.0
2025,23.0,25.0,109.0
2025,25.3,25.0,99.0
2025,26.2,25.0,95.0
2025,24.3,25.0,103.0
2025,24.6,25.0,101.0
2025,25.5,25.0,98.0
2025,26.3,25.0,95.0
2025,26.1,25.0,96.0
2025,26.4,25.0,95.0
2025,26.8,25.0,93.0
2025,24.0,25.0,104.0
2025,25.2,25.0,99.0
2025,24.3,25.0,103.0
2025,26.1,25.0,96.0
2025,25.7,25.0,97.0
2025,25.7,25.0,97.0
2025,27.1,25.0,92.0
2025,24.6,25.0,102.0
2025,23.1,25.0,108.0
2025,24.1,25.0,104.0
2025,25.1,25.0,100.0
2025,26.6,25.0,94.0
2025,25.8,25.0,97.0
2025,27.1,25.0,92.0
2025,26.3,25.0,95.0
2025,25.5,25.0,98.0
2025,26.1,25.0,96.0
2025,25.1,25.0,100.0
2025,25.4,25.0,98.0
2025,27.8,25.0,90.0
2025,25.4,25.0,98.0
2025,25.3,25.0,99.0
2025,25.0,25.0,100.0
2025,24.7,25.0,101.0
2025,25.0,25.0,100.0
2025,24.6,25.0,102.0
2025,25.2,25.0,99.0
2025,24.8,25.0,101.0
2025,24.7,25.0,101.0
2025,23.5,25.0,107.0
2025,25.5,25.0,98.0
2025,26.1,25.0,96.0
2025,27.4,25.0,91.0
2025,26.6,25.0,94.0
2025,26.0,25.0,96.0
2025,26.6,25.0,94.0
2025,23.8,25.0,105.0
2025,26.9,25.0,93.0
2025,24.9,25.0,100.0
2025,24.6,25.0,102.0
2025,25.5,25.0,98.0
2025,24.9,25.0,100.0
2025,24.9,25.0,100.0
2025,25.4,25.0,98.0
2025,24.9,25.0,101.0
2025,26.3,25.0,95.0
2025,25.0,25.0,100.0
2025,26.2,25.0,96.0
2025,25.1,25.0,100.0
2025,26.6,25.0,94.0
2025,26.2,25.0,95.0
2025,24.6,25.0,101.0
2025,24.5,25.0,102.0
2025,26.2,25.0,95.0
2025,25.8,25.0,97.0
2025,26.5,25.0,94.0
2025,25.0,25.0,100.0
2025,25.0,25.0,100.0
2025,25.6,25.0,98.0
2025,25.4,25.0,99.0
2025,24.6,25.0,102.0
2025,24.6,25.0,102.0
2025,25.2,25.0,99.0
2025,24.6,25.0,102.0
2025,24.6,25.0,102.0
2025,27.5,25.0,91.0
2025,25.0,25.0,100.0
2025,24.4,25.0,102.0
2025,25.8,25.0,97.0
2025,25.9,25.0,97.0
2025,25.1,25.0,100.0
2025,25.7,25.0,97.0
2025,25.4,25.0,99.0
2025,25.1,25.0,99.0
2025,25.5,25.0,98.0
2025,25.0,25.0,100.0
2025,25.5,25.0,98.0
2025,26.2,25.0,96.0
2025,25.5,25.0,98.0
2025,26.4,25.0,95.0
2025,26.0,25.0,96.0
2025,24.5,25.0,102.0
2025,28.4,25.0,88.0
2025,25.9,25.0,97.0
2025,24.5,25.0,102.0
2025,25.4,25.0,98.0
2025,25.1,25.0,100.0
2025,26.2,25.0,95.0
2025,26.1,25.0,96.0
2025,25.2,25.0,99.0
2025,26.1,25.0,96.0
2025,23.6,25.0,106.0
2025,26.9,25.0,93.0
2025,24.5,25.0,102.0
2025,26.9,25.0,93.0
2025,26.3,25.0,95.0
2025,25.8,25.0,97.0
2025,27.5,25.0,91.0
2025,25.0,25.0,100.0
2025,26.9,25.0,93.0
2025,24.7,25.0,101.0
2025,23.5,25.0,106.0
2025,25.8,25.0,97.0
2025,25.2,25.0,99.0
2025,26.1,25.0,96.0
2025,24.6,25.0,102.0
2025,25.8,25.0,97.0
2025,26.8,25.0,93.0
2025,26.6,25.0,94.0
2025,25.9,25.0,97.0
2025,26.8,25.0,93.0
2025,26.5,25.0,94.0
2025,24.5,25.0,102.0
2025,24.1,25.0,104.0
2025,26.4,25.0,95.0
2025,26.8,25.0,93.0
2025,22.3,25.0,112.0
2025,26.1,25.0,96.0
2025,25.6,25.0,98.0
2025,25.9,25.0,97.0
2025,25.2,25.0,99.0
2025,24.4,25.0,103.0
2025,25.1,25.0,100.0
2025,26.9,25.0,93.0
2025,25.3,25.0,99.0
2025,25.3,25.0,99.0
2025,24.0,25.0,104.0
2025,25.1,25.0,100.0
2025,26.2,25.0,95.0
2025,25.6,25.0,98.0
2025,25.8,25.0,97.0
2025,25.9,25.0,96.0
2025,26.3,25.0,95.0
2025,26.1,25.0,96.0
2025,24.3,25.0,103.0
2025,24.8,25.0,101.0
2025,25.5,25.0,98.0
2025,24.8,25.0,101.0
2025,24.0,25.0,104.0
2025,26.9,25.0,93.0
2025,25.4,25.0,99.0
2025,25.4,25.0,99.0
2025,25.2,25.0,99.0
2025,26.7,25.0,94.0
2025,24.8,25.0,101.0
2025,27.3,25.0,91.0
2025,25.5,25.0,98.0
2025,25.6,25.0,98.0
2025,24.5,25.0,102.0
2025,25.5,25.0,98.0
2025,25.2,25.0,99.0
2025,25.9,25.0,97.0
2025,26.5,25.0,94.0
2025,27.3,25.0,92.0
2025,26.1,25.0,96.0
2025,25.0,25.0,100.0
2025,24.9,25.0,100.0
2025,24.5,25.0,102.0
2025,24.2,25.0,103.0
2025,25.8,25.0,97.0
2025,26.5,25.0,94.0
2025,25.0,25.0,100.0
2025,25.7,25.0,97.0
2025,24.8,25.0,101.0
2025,26.8,25.0,93.0
2025,26.3,25.0,95.0
2025,24.8,25.0,101.0
2025,25.1,25.0,100.0
2025,26.6,25.0,94.0
2025,25.0,25.0,100.0
2025,25.4,25.0,98.0
2025,25.7,25.0,97.0
2025,24.6,25.0,102.0
2025,27.4,25.0,91.0
2025,25.7,25.0,97.0
2025,25.6,25.0,98.0
2025,26.0,25.0,96.0
2025,24.0,25.0,104.0
2025,23.8,25.0,105.0
2025,24.7,25.0,101.0
2025,25.3,25.0,99.0
2025,25.5,25.0,98.0
2025,24.7,25.0,101.0
2025,27.8,25.0,90.0
2025,25.9,25.0,97.0
2025,22.9,25.0,109.0
2025,24.8,25.0,101.0
2025,26.2,25.0,95.0
2025,25.1,25.0,100.0
2025,25.1,25.0,100.0
2025,24.8,25.0,101.0
2025,25.8,25.0,97.0
2025,27.1,25.0,92.0
2025,24.2,25.0,103.0
2025,25.4,25.0,98.0
2025,25.3,25.0,99.0
2025,24.5,25.0,102.0
2025,25.0,25.0,100.0
2025,24.3,25.0,103.0
2025,26.5,25.0,94.0
2025,27.1,25.0,92.0
2025,25.7,25.0,97.0
2025,24.8,25.0,101.0
2025,24.6,25.0,101.0
2025,24.6,25.0,102.0
2025,25.7,25.0,97.0
2025,23.5,25.0,107.0
2025,26.9,25.0,93.0
2025,26.6,25.0,94.0
2025,23.9,25.0,105.0
2025,27.0,25.0,93.0
2025,26.9,25.0,93.0
2025,25.4,25.0,98.0
2025,25.7,25.0,97.0
2025,25.3,25.0,99.0
2025,25.4,25.0,98.0
2025,25.0,25.0,100.0
2025,25.5,25.0,98.0
2025,25.8,25.0,97.0
2025,24.4,25.0,102.0
2025,25.0,25.0,100.0
2025,22.4,25.0,111.0
2025,25.8,25.0,97.0
2025,25.1,25.0,99.0
2025,25.2,25.0,99.0
2025,27.9,25.0,90.0
2025,26.6,25.0,94.0
2025,25.9,25.0,96.0
2025,26.5,25.0,94.0
2025,26.1,25.0,96.0
2025,28.6,25.0,88.0
2025,25.2,25.0,99.0
2025,25.6,25.0,98.0
2025,25.7,25.0,97.0
2025,25.2,25.0,99.0
2025,23.2,25.0,108.0
2025,25.3,25.0,99.0
2025,26.8,25.0,93.0
2025,25.2,25.0,99.0
2025,27.9,25.0,90.0
2025,24.1,25.0,104.0
2025,23.3,25.0,107.0
2025,26.6,25.0,94.0
2025,27.2,25.0,92.0
2025,25.3,25.0,99.0
2025,26.4,25.0,95.0
2025,28.3,25.0,88.0
2025,25.4,25.0,98.0
2025,25.4,25.0,98.0
2025,25.7,25.0,97.0
2025,25.4,25.0,99.0
2025,25.2,25.0,99.0
2025,24.9,25.0,100.0
2025,25.6,25.0,98.0
2025,25.7,25.0,97.0
2025,26.2,25.0,96.0
2025,25.9,25.0,97.0
2025,26.7,25.0,94.0
2025,24.1,25.0,104.0
2025,23.8,25.0,105.0
2025,24.2,25.0,103.0
2025,25.2,25.0,99.0
2025,24.7,25.0,101.0
2025,25.2,25.0,99.0
2025,26.2,25.0,96.0
2025,25.1,25.0,100.0
2025,24.5,25.0,102.0
2025,26.0,25.0,96.0
2025,26.3,25.0,95.0
2025,26.7,25.0,94.0
2025,26.5,25.0,94.0
2025,25.0,25.0,100.0
2025,25.8,25.0,97.0
2025,24.7,25.0,101.0
2025,26.1,25.0,96.0
2025,25.7,25.0,97.0
2025,24.8,25.0,101.0
2025,27.2,25.0,92.0
2025,26.6,25.0,94.0
2025,25.7,25.0,97.0
2025,26.0,25.0,96.0
2025,26.4,25.0,95.0
2025,24.4,25.0,102.0
2025,24.2,25.0,103.0
2025,26.3,25.0,95.0
2025,24.8,25.0,101.0
2025,26.1,25.0,96.0
2025,24.7,25.0,101.0
2025,24.8,25.0,101.0
2025,23.9,25.0,105.0
2025,24.8,25.0,101.0
2025,23.7,25.0,106.0
2025,25.5,25.0,98.0
2025,25.1,25.0,100.0
2025,24.3,25.0,103.0
2025,26.6,25.0,94.0
2025,24.0,25.0,104.0
2025,25.4,25.0,98.0
2025,27.0,25.0,93.0
2025,24.7,25.0,101.0
2025,23.9,25.0,105.0
2025,25.8,25.0,97.0
2025,26.1,25.0,96.0
2025,24.6,25.0,102.0
2025,24.6,25.0,102.0
2025,24.5,25.0,102.0
2025,25.0,25.0,100.0
2025,26.6,25.0,94.0
2025,25.7,25.0,97.0
2025,26.7,25.0,94.0
2025,26.5,25.0,94.0
2025,24.2,25.0,104.0
2025,23.8,25.0,105.0
2025,25.3,25.0,99.0
2025,23.8,25.0,105.0
2025,26.3,25.0,95.0
2025,26.6,25.0,94.0
2025,25.4,25.0,98.0
2025,25.5,25.0,98.0
2025,26.4,25.0,95.0
2025,25.3,25.0,99.0
2025,27.2,25.0,92.0
2025,25.3,25.0,99.0
2025,25.5,25.0,98.0
2025,25.2,25.0,99.0
2025,25.6,25.0,97.0
2025,24.6,25.0,102.0
2025,26.1,25.0,96.0
2025,25.0,25.0,100.0
2025,25.1,25.0,99.0
2025,24.3,25.0,103.0
2025,25.1,25.0,100.0
2025,26.9,25.0,93.0
2025,25.9,25.0,97.0
2025,24.6,25.0,102.0
2025,27.1,25.0,92.0
2025,24.3,25.0,103.0
2025,25.3,25.0,99.0
2025,25.6,25.0,98.0
2025,26.4,25.0,95.0
2025,26.8,25.0,93.0
2025,26.2,25.0,95.0
2025,25.5,25.0,98.0
2025,24.3,25.0,103.0
2025,24.9,25.0,100.0
2025,24.7,25.0,101.0
2025,23.6,25.0,106.0
2025,24.6,25.0,102.0
2025,25.1,25.0,99.0
2025,26.3,25.0,95.0
2025,25.3,25.0,99.0
2025,26.1,25.0,96.0
2025,24.3,25.0,103.0
2025,24.8,25.0,101.0
2025,25.8,25.0,97.0
2025,24.0,25.0,104.0
2025,23.6,25.0,106.0
2025,24.8,25.0,101.0
2025,24.8,25.0,101.0
2025,25.9,25.0,97.0
2025,24.9,25.0,100.0
2025,24.9,25.0,100.0
2025,27.6,25.0,91.0
2025,26.2,25.0,95.0
2025,25.8,25.0,97.0
2025,26.7,25.0,93.0
2025,24.4,25.0,103.0
2025,24.4,25.0,102.0
2025,24.1,25.0,104.0
2025,27.5,25.0,91.0
2025,24.4,25.0,102.0
2025,26.8,25.0,93.0
2025,24.7,25.0,101.0
2025,24.2,25.0,103.0
2025,25.9,25.0,97.0
2025,24.7,25.0,101.0
2025,24.9,25.0,101.0
2025,23.3,25.0,107.0
2025,25.0,25.0,100.0
2025,25.5,25.0,98.0
2025,27.0,25.0,93.0
2025,25.9,25.0,96.0
2025,24.7,25.0,101.0
2025,25.6,25.0,98.0
2025,24.4,25.0,103.0
2025,24.1,25.0,104.0
2025,27.8,25.0,90.0
2025,26.4,25.0,95.0
2025,26.0,25.0,96.0
2025,25.3,25.0,99.0
2025,25.0,25.0,100.0
2025,25.6,25.0,98.0
2025,26.1,25.0,96.0
2025,26.4,25.0,95.0
2025,25.0,25.0,100.0
2025,24.5,25.0,102.0
2025,24.2,25.0,103.0
2025,23.3,25.0,107.0
2025,24.6,25.0,102.0
2025,25.3,25.0,99.0
2025,25.1,25.0,100.0
2025,25.6,25.0,98.0
2025,25.0,25.0,100.0
2025,25.1,25.0,100.0
2025,25.0,25.0,100.0
2025,24.8,25.0,101.0
2025,25.4,25.0,98.0
2025,26.4,25.0,95.0
2025,24.4,25.0,102.0
2025,24.1,25.0,104.0
2025,24.2,25.0,103.0
2025,25.7,25.0,97.0
2025,24.8,25.0,101.0
2025,25.1,25.0,100.0
2025,25.2,25.0,99.0
2025,23.9,25.0,105.0
2025,23.2,25.0,108.0
2025,25.2,25.0,99.0
2025,26.3,25.0,95.0
2025,25.6,25.0,98.0
2025,24.6,25.0,102.0
2025,25.1,25.0,100.0
2025,25.7,25.0,97.0
2025,25.4,25.0,99.0
2025,24.9,25.0,100.0
2025,26.3,25.0,95.0
2025,27.1,25.0,92.0
2025,27.0,25.0,93.0
2025,24.7,25.0,101.0
2025,26.8,25.0,93.0
2025,24.8,25.0,101.0
2025,25.9,25.0,97.0
2025,25.4,25.0,98.0
2025,25.4,25.0,98.0
2025,24.3,25.0,103.0
2025,26.3,25.0,95.0
2025,23.8,25.0,105.0
2025,23.7,25.0,105.0
2025,23.9,25.0,105.0
2025,24.8,25.0,101.0
2025,29.2,25.0,86.0
2025,26.9,25.0,93.0
2025,26.0,25.0,96.0
2025,25.5,25.0,98.0
2025,23.5,25.0,106.0
2025,25.8,25.0,97.0
2025,26.7,25.0,94.0
2025,27.0,25.0,93.0
2025,26.9,25.0,93.0
2025,24.6,25.0,102.0
2025,24.8,25.0,101.0
2025,25.4,25.0,99.0
2025,26.1,25.0,96.0
2025,27.0,25.0,93.0
2025,25.1,25.0,99.0
2025,24.9,25.0,101.0
2025,23.5,25.0,106.0
2025,24.8,25.0,101.0
2025,24.3,25.0,103.0
2025,26.2,25.0,95.0
2025,26.1,25.0,96.0
2025,24.0,25.0,104.0
2025,24.8,25.0,101.0
2025,26.6,25.0,94.0
2025,26.3,25.0,95.0
2025,23.7,25.0,106.0
2025,26.2,25.0,95.0
2025,24.7,25.0,101.0
2025,26.2,25.0,95.0
2025,24.9,25.0,100.0
2025,26.4,25.0,95.0
2025,24.6,25.0,101.0
2025,26.5,25.0,94.0
2025,25.0,25.0,100.0
2025,26.0,25.0,96.0
2025,26.4,25.0,95.0
2025,25.6,25.0,97.0
2025,25.3,25.0,99.0
2025,25.3,25.0,99.0
2025,26.0,25.0,96.0
2025,25.1,25.0,99.0
2025,24.3,25.0,103.0
2025,24.8,25.0,101.0
2025,25.8,25.0,97.0
2025,27.3,25.0,92.0
2025,24.9,25.0,100.0
2025,26.5,25.0,94.0
2025,26.7,25.0,94.0
2025,26.1,25.0,96.0
2025,25.9,25.0,97.0
2025,25.4,25.0,98.0
2025,25.4,25.0,98.0
2025,24.8,25.0,101.0
2025,25.1,25.0,99.0
2025,26.3,25.0,95.0
2025,24.1,25.0,104.0
2025,25.8,25.0,97.0
2025,27.2,25.0,92.0
2025,24.6,25.0,101.0
2025,25.0,25.0,100.0
2025,25.8,25.0,97.0
2025,26.1,25.0,96.0
2025,26.3,25.0,95.0
2025,25.4,25.0,98.0
2025,23.5,25.0,106.0
2025,25.2,25.0,99.0
2025,24.5,25.0,102.0
2025,24.7,25.0,101.0
2025,25.5,25.0,98.0
2025,26.4,25.0,95.0
2025,25.7,25.0,97.0
2025,28.0,25.0,89.0
2025,24.9,25.0,101.0
2025,25.2,25.0,99.0
2025,28.5,25.0,88.0
2025,27.6,25.0,91.0
2025,25.3,25.0,99.0
2025,25.0,25.0,100.0
2025,25.9,25.0,97.0
2025,24.1,25.0,104.0
2025,27.0,25.0,93.0
2025,26.4,25.0,95.0
2025,25.7,25.0,97.0
2025,23.8,25.0,105.0
2025,25.2,25.0,99.0
2025,25.2,25.0,99.0
2025,25.9,25.0,97.0
2025,22.3,25.0,112.0
2025,25.8,25.0,97.0
2025,25.3,25.0,99.0
2025,24.4,25.0,102.0
2025,26.1,25.0,96.0
2025,24.5,25.0,102.0
2025,26.5,25.0,94.0
2025,24.1,25.0,104.0
2025,27.3,25.0,92.0
2025,24.2,25.0,103.0
2025,26.2,25.0,96.0
2025,24.2,25.0,103.0
2025,25.1,25.0,100.0
2025,24.4,25.0,102.0
2025,25.8,25.0,97.0
2025,23.9,25.0,104.0
2025,24.5,25.0,102.0
2025,27.0,25.0,92.0
2025,26.0,25.0,96.0
2025,26.3,25.0,95.0
2025,25.4,25.0,98.0
2025,26.3,25.0,95.0
2025,25.8,25.0,97.0
2025,24.9,25.0,101.0
2025,24.5,25.0,102.0
2025,25.0,25.0,100.0
2025,26.0,25.0,96.0
2025,25.4,25.0,98.0
2025,26.3,25.0,95.0
2025,25.3,25.0,99.0
2025,25.6,25.0,98.0
2025,25.0,25.0,100.0
2025,25.5,25.0,98.0
2025,25.5,25.0,98.0
2025,24.9,25.0,100.0
2025,25.7,25.0,97.0
2025,26.0,25.0,96.0
2025,26.8,25.0,93.0
2025,25.1,25.0,100.0
2025,24.5,25.0,102.0
2025,23.9,25.0,105.0
2025,27.8,25.0,90.0
2025,25.8,25.0,97.0
2025,26.1,25.0,96.0
2025,26.3,25.0,95.0
2025,26.1,25.0,96.0
2025,26.7,25.0,94.0
2025,24.9,25.0,100.0
2025,24.3,25.0,103.0
2025,27.6,25.0,90.0
2025,26.1,25.0,96.0
2025,23.6,25.0,106.0
2025,24.8,25.0,101.0
2025,26.7,25.0,94.0
2025,26.4,25.0,95.0
2025,27.9,25.0,90.0
2025,27.7,25.0,90.0
2025,25.4,25.0,99.0
2025,27.1,25.0,92.0
2025,27.2,25.0,92.0
2025,24.9,25.0,100.0
2025,24.5,25.0,102.0
2025,26.2,25.0,95.0
2025,25.7,25.0,97.0
2025,26.8,25.0,93.0
2025,26.2,25.0,96.0
2025,25.6,25.0,98.0
2025,25.4,25.0,98.0
2025,26.6,25.0,94.0
2025,25.4,25.0,98.0
2025,25.8,25.0,97.0
2025,24.8,25.0,101.0
2025,24.9,25.0,100.0
2025,24.2,25.0,103.0
2025,25.7,25.0,97.0
2025,24.2,25.0,103.0
2025,25.0,25.0,100.0
2025,23.9,25.0,105.0
2025,25.9,25.0,97.0
2025,24.3,25.0,103.0
2025,25.2,25.0,99.0
2025,25.5,25.0,98.0
2025,24.3,25.0,103.0
2025,24.6,25.0,102.0
2025,25.2,25.0,99.0
2025,24.7,25.0,101.0
2025,25.8,25.0,97.0
2025,24.4,25.0,102.0
2025,26.2,25.0,95.0
2025,26.1,25.0,96.0
2025,24.2,25.0,103.0
2025,24.4,25.0,102.0
2025,25.2,25.0,99.0
2025,24.4,25.0,103.0
2025,25.9,25.0,96.0
2025,25.3,25.0,99.0
2025,26.0,25.0,96.0
2025,26.7,25.0,94.0
2025,23.8,25.0,105.0
2025,26.1,25.0,96.0
2025,25.5,25.0,98.0
2025,24.5,25.0,102.0
2025,23.9,25.0,105.0
2025,23.6,25.0,106.0
2025,26.7,25.0,94.0
2025,24.7,25.0,101.0
2025,26.9,25.0,93.0
2025,25.2,25.0,99.0
2025,25.6,25.0,98.0
2025,24.6,25.0,102.0
2025,24.4,25.0,103.0
2025,25.5,25.0,98.0
2025,24.2,25.0,103.0
